,Model,Epoch,Train loss,Valid loss,Train accuracy,Valid accuracy,Train Precision,Valid Precision,Train Recall,Valid Recall,Train AUC,Valid AUC,Train True Positives,Train True Negatives,Train False Positives,Train False Negatives,Valid True Positives,Valid True Negatives,Valid False Positives,Valid False Negatives
0,Classification Model,0,0.47193632327168195,0.5243682265281677,0.784561276435852,0.7864583134651184,0.5254749059677124,0.5661960244178772,0.12522004544734955,0.18735605478286743,0.7116444706916809,0.7427526116371155,402.1125793457031,9044.6513671875,328.86358642578125,2320.3720703125,1072.730712890625,18876.833984375,821.8461303710938,4652.58984375
1,Classification Model,1,0.4499494688597736,0.39954325556755066,0.7956953644752502,0.7776442170143127,0.5779374241828918,0.5851188898086548,0.21441300213336945,0.22777031362056732,0.7494329810142517,0.7591179609298706,1888.29541015625,28659.919921875,1373.472900390625,6830.2939453125,2671.34619140625,38455.55078125,1894.128173828125,9058.974609375
2,Classification Model,2,0.4184200259628675,0.4204120635986328,0.8104304671287537,0.8068910241127014,0.5980160236358643,0.6046497821807861,0.2522263824939728,0.2740917503833771,0.7701894640922546,0.7786189913749695,3746.348388671875,48136.64453125,2510.606689453125,11014.4150390625,4861.1923828125,57822.19140625,3178.487060546875,12874.1279296875
3,Classification Model,3,0.4028399813451514,0.4088144898414612,0.8175082802772522,0.8052884340286255,0.6118519306182861,0.6162587404251099,0.2955029308795929,0.31198015809059143,0.7863029837608337,0.7921971082687378,6151.80419921875,67408.53125,3896.006591796875,14607.6494140625,7406.56396484375,77039.6015625,4612.0771484375,16333.7568359375
4,Classification Model,4,0.3978235407775601,0.4087153673171997,0.8197019696235657,0.8068910241127014,0.6209414005279541,0.6246055364608765,0.3225439488887787,0.33350908756256104,0.7968153953552246,0.8011192679405212,8636.9599609375,86703.546875,5268.189453125,18111.279296875,9920.435546875,96340.3359375,5962.34619140625,19824.884765625
